FATES_NPP_PF,FATES_RECRUITMENT_PF,FATES_NPLANT_PF,FATES_MORTALITY_PF,FATES_NPATCHES,FATES_NCOHORTS,FATES_VEGC_PF,FATES_SEED_BANK_TRS,FATES_SEEDLING_POOL_TRS,FATES_SEEDS_IN,FATES_SEEDS_IN_LOCAL,date,simYr
3.431616235616275e-8,0.011729680933058262,0.09229721128940582,0.0016966587863862514,10,205.06451416015625,31.332239151000977,6.32647832389921e-4,0.002511511789634824,8.402250561978519e-10,0,1908-01-01,9
3.3435917146107386e-8,0.011815880425274372,0.09281285107135773,0.0017060183454304934,10,205.4193572998047,31.34406852722168,7.012871792539954e-4,0.0024661989882588387,7.870772922302649e-10,0,1908-02-01,9
3.474571030892548e-8,0.011481755413115025,0.09328848868608475,0.0017148241167888045,10,205.7857208251953,31.353809356689453,8.708853274583817e-4,0.002308197785168886,8.216936575600187e-10,0,1908-03-01,9
2.972437229686875e-8,0.011575927957892418,0.09374205768108368,0.0017233160324394703,10,208,31.364322662353516,0.001104938331991434,0.002081720856949687,6.123902496213418e-10,0,1908-04-01,9
2.643511720634706e-8,0.0036084612365812063,0.09395541250705719,0.0017275362042710185,10,200.43333435058594,31.355628967285156,0.0012715180637314916,0.001908578909933567,4.811457898767912e-10,0,1908-05-01,9
3.262694647787612e-8,0.009471260011196136,0.09421716630458832,0.0017324277432635427,10,206.5483856201172,31.360374450683594,0.0014919271925464272,0.0017324112122878432,7.773254262488649e-10,0,1908-06-01,9
3.2869266419766063e-8,0.00903382245451212,0.09455814957618713,0.0017388943815603852,10,205.39999389648438,31.36682891845703,0.001438052742742002,0.0018278490751981735,7.889117692450043e-10,0,1908-07-01,9
3.136884529908457e-8,0.010449028573930264,0.09496462345123291,0.0017462546238675714,10,205.4193572998047,31.37269401550293,0.0011934629874303937,0.0020945784635841846,7.322264461429029e-10,0,1908-08-01,9
2.9686686886520874e-8,0.012038324028253555,0.09548354893922806,0.0017555542290210724,10,207.1290283203125,31.376237869262695,8.659868035465479e-4,0.0024095969274640083,6.615133996135114e-10,0,1908-09-01,9
3.028040396202414e-8,0.012266968376934528,0.09606686234474182,0.0017660869052633643,10,206.53334045410156,31.37689208984375,7.004946237429976e-4,0.0025358498096466064,6.899705806695522e-10,0,1908-10-01,9
3.120099734132964e-8,0.01202868390828371,0.09663103520870209,0.0017763160867616534,10,206.80645751953125,31.381052017211914,6.798591348342597e-4,0.0025412326212972403,7.280430147638128e-10,0,1908-11-01,9
2.945574095747361e-8,0.011797462590038776,0.09720272570848465,0.0017866853158921003,10,211.39999389648438,31.384422302246094,6.133430870249867e-4,0.0025906336959451437,6.838852262269768e-10,0,1908-12-01,9
3.3863514659060456e-8,0.011618545278906822,0.09772209078073502,0.0017961305566132069,10,210.03225708007812,31.389699935913086,5.870432360097766e-4,0.002621185267344117,8.174650956149776e-10,0,1909-01-01,10
3.4135233306642476e-8,0.012512111105024815,0.09827476739883423,0.0018061207374557853,10,209.09677124023438,31.400726318359375,6.576796295121312e-4,0.0025606367271393538,8.028795406289646e-10,0,1909-02-01,10
3.4954446448409726e-8,0.012362420558929443,0.09880111366510391,0.0018157224403694272,10,211.9642791748047,31.414052963256836,9.018692071549594e-4,0.002327937399968505,8.117062022527932e-10,0,1909-03-01,10
3.2260423665775306e-8,0.011540926061570644,0.09929707646369934,0.001824885606765747,10,211.83871459960938,31.420801162719727,0.0011463022092357278,0.0020644443575292826,7.038069571585481e-10,0,1909-04-01,10
3.1457947358148886e-8,0.01074552908539772,0.09977585822343826,0.0018338324734941125,10,213.60000610351562,31.427471160888672,0.0013679330004379153,0.0018356096697971225,7.045061201083058e-10,0,1909-05-01,10
3.1228942987127084e-8,0.010924859903752804,0.10022386908531189,0.0018421440618112683,10,214.74192810058594,31.432723999023438,0.001253273687325418,0.0019539883360266685,7.143282076960134e-10,0,1909-06-01,10
3.134460868636779e-8,0.01239563524723053,0.1007695272564888,0.001851937617175281,10,213.93333435058594,31.438579559326172,8.761011995375156e-4,0.002321796026080847,7.326945161700849e-10,0,1909-07-01,10
3.172731055656186e-8,0.012005415745079517,0.10134348273277283,0.0018622562056407332,10,214.61289978027344,31.442644119262695,7.458054460585117e-4,0.0024347419384866953,7.411704583404344e-10,0,1909-08-01,10
3.2786861225986286e-8,0.012100571766495705,0.10190225392580032,0.0018723165849223733,10,215.93548583984375,31.44971466064453,6.696361233480275e-4,0.002510613761842251,7.798312551265951e-10,0,1909-09-01,10
3.133028059210119e-8,0.012797544710338116,0.10247976332902908,0.0018827093299478292,10,217.13333129882812,31.4562931060791,5.986291798762977e-4,0.0025702686980366707,7.099957843870186e-10,0,1909-10-01,10
3.1390776200623804e-8,0.01310136541724205,0.10309511423110962,0.0018938336288556457,10,221.19354248046875,31.461767196655273,5.730445845983922e-4,0.002567725721746683,7.208003083292169e-10,0,1909-11-01,10
3.111282609324917e-8,0.01183733157813549,0.10368166118860245,0.0019044900545850396,10,222.8000030517578,31.46649169921875,5.95529330894351e-4,0.0025295023806393147,7.306116822647368e-10,0,1909-12-01,10
3.440898410644877e-8,0.011211640201508999,0.10389277338981628,0.0019081500358879566,10,223.90322875976562,31.475343704223633,5.955406231805682e-4,0.00255382526665926,8.504036919099178e-10,0,1910-01-01,11
